iter	Passed	Remaining
0	142	142157
1	142	71297
2	143	47667
3	143	35850
4	144	28765
5	145	24036
6	145	20657
7	146	18126
8	146	16161
9	147	14583
10	147	13294
11	148	12218
12	148	11308
13	149	10532
14	150	9856
15	150	9263
16	151	8741
17	151	8277
18	152	7862
19	152	7487
20	153	7149
21	153	6841
22	154	6559
23	155	6303
24	155	6066
25	156	5847
26	156	5644
27	157	5455
28	157	5280
29	158	5115
30	158	4963
31	159	4819
32	159	4684
33	160	4557
34	160	4437
35	161	4323
36	161	4216
37	162	4114
38	163	4017
39	163	3926
40	164	3839
41	164	3757
42	165	3678
43	165	3602
44	166	3530
45	166	3460
46	167	3394
47	167	3330
48	168	3270
49	169	3212
50	169	3156
51	170	3102
52	170	3050
53	171	3000
54	171	2951
55	172	2904
56	172	2859
57	173	2816
58	173	2774
59	174	2733
60	175	2694
61	175	2655
62	176	2618
63	176	2583
64	177	2548
65	177	2515
66	178	2482
67	178	2447
68	179	2416
69	179	2386
70	180	2357
71	180	2329
72	181	2301
73	181	2274
74	182	2248
75	182	2223
76	183	2203
77	184	2179
78	184	2155
79	185	2131
80	185	2108
81	186	2085
82	186	2063
83	187	2041
84	187	2018
85	187	1997
86	188	1975
87	188	1955
88	189	1936
89	189	1917
90	190	1898
91	190	1880
92	190	1862
93	191	1844
94	191	1827
95	192	1810
96	192	1793
97	193	1777
98	193	1761
99	194	1746
100	194	1731
101	194	1714
102	195	1700
103	195	1685
104	196	1671
105	196	1657
106	196	1643
107	197	1630
108	198	1618
109	198	1605
110	198	1593
111	199	1580
112	199	1568
113	200	1556
114	200	1544
115	201	1532
116	201	1520
117	201	1509
118	202	1497
119	202	1487
120	203	1476
121	203	1465
122	203	1453
123	204	1443
124	204	1433
125	205	1423
126	205	1414
127	206	1403
128	206	1394
129	206	1384
130	207	1375
131	207	1366
132	208	1357
133	208	1348
134	209	1340
135	209	1331
136	210	1323
137	210	1314
138	210	1306
139	211	1298
140	211	1290
141	212	1282
142	212	1275
143	213	1267
144	213	1259
145	214	1252
146	214	1245
147	215	1237
148	215	1230
149	215	1223
150	216	1216
151	216	1209
152	217	1202
153	217	1195
154	218	1189
155	218	1182
156	219	1175
157	219	1169
158	219	1163
159	220	1156
160	220	1150
161	221	1144
162	221	1138
163	222	1132
164	222	1126
165	223	1120
166	223	1115
167	223	1109
168	224	1103
169	224	1097
170	225	1092
