iter	Passed	Remaining
0	135	135438
1	136	67995
2	136	45477
3	137	34203
4	137	27439
5	138	22928
6	138	19708
7	139	17289
8	139	15409
9	140	13904
10	140	12672
11	141	11645
12	141	10776
13	142	10032
14	142	9386
15	143	8844
16	144	8346
17	144	7902
18	145	7504
19	145	7146
20	146	6821
21	146	6527
22	147	6266
23	148	6025
24	148	5798
25	149	5588
26	149	5394
27	150	5213
28	150	5044
29	151	4887
30	151	4739
31	152	4600
32	152	4470
33	153	4347
34	153	4231
35	153	4121
36	154	4017
37	154	3919
38	155	3826
39	155	3737
40	156	3653
41	156	3575
42	157	3499
43	157	3425
44	158	3355
45	158	3287
46	158	3223
47	159	3161
48	159	3102
49	160	3045
50	160	2990
51	161	2942
52	161	2891
53	162	2843
54	162	2796
55	163	2751
56	163	2707
57	164	2665
58	164	2624
59	165	2585
60	165	2546
61	165	2510
62	166	2474
63	166	2439
64	167	2405
65	167	2373
66	168	2341
67	168	2310
68	169	2280
69	169	2251
70	170	2225
71	170	2198
72	171	2172
73	171	2148
74	172	2127
75	173	2104
76	173	2080
77	174	2057
78	174	2035
79	175	2012
80	175	1990
81	175	1969
82	176	1946
83	176	1925
84	177	1905
85	177	1886
86	177	1867
87	178	1849
88	178	1830
89	179	1812
90	179	1795
91	180	1778
92	180	1761
93	181	1745
94	181	1728
95	181	1713
96	182	1698
97	182	1683
98	183	1668
99	183	1654
100	184	1640
101	184	1626
102	185	1613
103	185	1599
104	186	1586
105	186	1573
106	187	1561
107	187	1548
108	187	1536
109	188	1524
110	188	1512
111	189	1501
112	189	1489
113	190	1478
114	190	1467
115	191	1456
116	191	1444
117	191	1434
118	192	1424
119	192	1413
120	193	1403
121	193	1393
122	194	1383
123	194	1374
124	194	1364
125	195	1355
126	195	1345
127	196	1337
128	196	1328
129	197	1319
130	197	1311
131	198	1302
132	198	1294
133	199	1286
134	199	1278
135	199	1270
136	200	1262
137	200	1254
138	201	1247
139	201	1239
140	202	1231
141	202	1223
142	202	1216
143	203	1209
144	203	1202
145	204	1195
146	204	1188
147	205	1181
148	205	1174
149	206	1168
150	206	1161
151	207	1155
152	207	1148
153	207	1142
154	208	1135
155	208	1129
156	209	1123
157	209	1117
158	210	1111
159	210	1106
160	211	1099
161	211	1094
162	211	1088
163	212	1082
164	212	1077
165	213	1071
166	213	1066
167	214	1060
168	214	1055
169	215	1050
170	215	1045
171	216	1039
172	216	1034
173	216	1029
174	217	1024
175	217	1019
176	218	1014
177	218	1009
178	219	1005
179	219	1000
180	220	995
181	220	991
182	220	986
183	221	981
184	221	977
185	222	972
186	222	968
187	223	963
188	223	959
189	224	955
190	224	951
191	225	947
192	225	943
193	226	938
194	226	934
195	226	930
196	227	926
197	227	923
198	228	919
199	228	915
200	229	911
201	229	907
202	230	903
203	230	899
204	231	895
205	231	892
206	231	888
207	232	884
208	232	881
209	233	877
210	233	873
211	234	870
212	234	866
213	235	863
214	235	859
215	235	856
216	236	852
217	236	849
218	237	845
219	237	842
220	238	839
221	238	836
222	239	833
223	239	830
224	240	827
225	240	823
226	241	820
227	241	817
228	241	814
229	242	811
230	242	808
231	243	805
232	243	802
233	244	799
234	244	796
235	245	793
236	245	790
237	245	787
238	246	784
239	246	781
240	247	778
241	247	775
242	248	772
243	248	770
244	249	767
245	249	764
246	249	761
247	250	759
248	250	756
249	251	753
250	251	751
251	252	748
252	252	745
253	253	743
254	253	740
255	253	738
256	254	735
257	254	732
258	255	730
