iter	Passed	Remaining
0	140	140856
1	141	70661
2	142	47246
3	142	35532
4	143	28507
5	143	23820
6	144	20472
7	144	17963
8	145	16012
9	146	14454
10	146	13177
11	147	12112
12	147	11210
13	148	10438
14	148	9768
15	149	9181
16	149	8664
17	150	8204
18	150	7792
19	151	7421
20	152	7086
21	152	6781
22	153	6502
23	153	6249
24	154	6014
25	154	5797
26	155	5597
27	155	5410
28	156	5236
29	156	5074
30	157	4922
31	158	4780
32	158	4646
33	159	4521
34	159	4402
35	160	4289
36	160	4184
37	161	4083
38	161	3987
39	162	3896
40	162	3810
41	163	3728
42	164	3650
43	164	3575
44	165	3503
45	165	3435
46	166	3369
47	166	3306
48	167	3246
49	167	3189
50	168	3133
51	168	3079
52	169	3028
53	170	2978
54	170	2930
55	171	2884
56	171	2839
57	172	2797
58	172	2755
59	173	2715
60	173	2675
61	174	2638
62	174	2601
63	175	2565
64	175	2531
65	176	2498
66	177	2465
67	177	2430
68	177	2398
69	178	2368
70	178	2338
71	179	2309
72	179	2280
73	180	2253
74	180	2226
75	180	2199
76	181	2174
77	181	2149
78	182	2124
79	182	2101
80	183	2077
81	183	2055
82	184	2033
83	184	2011
84	184	1989
85	185	1968
86	185	1947
87	186	1927
88	186	1908
89	186	1890
90	187	1871
91	187	1853
92	188	1836
93	188	1819
94	189	1802
95	189	1785
96	190	1769
97	190	1753
98	191	1738
99	191	1723
100	191	1708
101	192	1692
102	192	1678
103	193	1663
104	193	1650
105	194	1636
106	194	1623
107	194	1610
108	195	1597
109	195	1584
110	196	1572
111	196	1560
112	197	1548
113	197	1536
114	198	1525
115	198	1512
116	199	1502
117	199	1490
118	199	1479
119	200	1468
120	200	1458
121	201	1447
122	201	1436
123	201	1426
124	202	1416
125	202	1406
126	203	1397
127	203	1386
128	204	1377
129	204	1368
130	204	1359
131	205	1350
132	205	1342
133	206	1333
134	206	1325
135	207	1317
136	207	1308
137	208	1300
138	208	1292
139	209	1284
140	209	1276
141	209	1268
142	211	1265
143	211	1257
144	212	1250
145	212	1242
146	212	1235
147	213	1228
148	213	1221
149	214	1214
150	214	1207
151	215	1200
152	215	1194
153	216	1187
154	216	1180
155	217	1174
156	217	1167
157	217	1161
158	218	1155
159	218	1148
160	219	1142
161	219	1136
162	220	1130
163	220	1124
164	221	1119
165	221	1113
166	222	1107
167	222	1101
168	222	1096
169	223	1090
170	223	1085
171	224	1079
172	224	1074
173	225	1069
174	225	1064
175	226	1058
176	226	1053
177	227	1048
178	227	1043
179	227	1038
180	228	1032
181	228	1027
182	229	1022
183	229	1018
184	230	1013
185	230	1008
186	230	1004
187	231	999
188	231	995
189	232	990
190	232	986
191	233	981
192	233	977
193	234	973
194	234	968
195	235	964
196	235	960
197	236	956
198	236	952
199	236	947
200	237	943
201	237	939
202	238	935
203	238	931
204	239	927
205	239	923
206	240	920
207	240	916
208	241	912
209	241	908
210	242	904
211	242	901
212	242	897
213	243	893
214	243	890
215	244	886
216	244	883
217	245	879
218	245	875
219	246	872
220	246	868
221	246	865
222	247	862
223	247	858
224	248	855
225	248	851
226	249	848
227	249	845
228	250	841
229	250	838
230	250	835
231	251	832
232	251	829
233	252	826
234	252	822
235	253	819
236	253	816
237	254	813
238	254	810
239	255	807
240	255	804
241	255	801
242	256	798
243	256	795
244	257	792
245	257	789
246	258	786
247	258	784
248	259	781
249	259	778
250	259	775
251	260	772
252	260	769
253	261	767
254	261	764
255	262	761
256	262	759
257	263	756
258	263	753
259	263	751
260	264	748
261	264	745
262	265	743
263	265	740
264	266	738
265	266	735
266	267	733
267	267	730
268	268	728
269	268	725
270	268	723
271	269	720
272	269	718
273	270	716
274	270	713
275	271	711
276	271	708
277	272	706
278	272	704
279	273	702
280	273	699
281	273	697
282	274	695
283	274	692
284	275	690
285	275	688
286	276	685
287	276	683
288	277	681
289	277	679
290	277	677
291	278	674
292	278	672
293	279	670
294	279	668
295	280	666
296	280	664
297	281	662
298	281	660
299	281	657
300	282	655
301	282	653
302	283	651
303	283	649
304	284	647
305	284	645
306	285	643
307	285	641
308	286	639
309	286	637
310	286	635
311	287	633
312	287	631
313	288	629
314	288	627
315	289	625
316	289	624
317	290	622
318	290	620
319	290	618
320	291	616
321	291	614
322	292	612
323	292	610
324	293	608
325	293	607
326	294	605
327	294	603
328	295	601
329	295	599
330	295	598
331	296	596
332	296	594
333	297	592
334	297	590
335	298	589
336	298	587
337	299	585
338	299	584
339	299	582
340	300	580
341	300	578
342	301	577
343	301	575
344	302	573
345	302	572
346	303	570
347	303	568
348	304	567
349	304	565
350	304	563
351	305	562
352	305	560
353	306	558
354	306	557
355	307	555
356	307	553
357	307	552
358	308	550
359	308	549
360	309	547
